Date,Open,High,Low,Close,Volume,Market Cap
2021-04-19,sty.47,sty.50,sty.42,sty.45,17,16600000
2021-04-20,sty.45,sty.49,sty.36,sty.40,9,16200000
2021-04-21,sty.40,mar.34,sty.35,mar.27,297,17900000
2021-04-22,mar.27,mar.31,lut.40,lut.68,10,28600000
2021-04-23,lut.67,lut.70,lut.34,lut.50,2,27900000
2021-04-24,lut.51,lut.85,lut.43,lut.83,18,28800000
2021-04-25,lut.83,mar.30,lut.76,mar.21,63,33800000
2021-04-26,mar.21,mar.55,mar.20,mar.53,0,39000000
2021-04-27,mar.53,kwi.57,mar.50,kwi.57,1,40600000
2021-04-28,kwi.58,kwi.62,sty.61,lut.33,265,34000000
2021-04-29,lut.33,lut.35,lut.24,lut.29,25,25900000
2021-04-30,lut.29,lut.47,lut.27,lut.47,17,26500000
2021-05-01,lut.47,lut.74,lut.42,lut.43,35,30000000
2021-05-02,lut.43,lut.43,lut.36,lut.38,19,26900000
2021-05-03,lut.38,lut.48,lut.38,lut.40,0,27400000
2021-05-04,lut.40,lut.40,lut.23,lut.23,7,26000000
2021-05-05,lut.22,lut.31,lut.13,lut.22,15,25100000
2021-05-06,lut.22,lut.38,lut.15,lut.18,6,24900000
2021-05-07,lut.18,lut.38,lut.15,lut.34,52,25300000
2021-05-08,lut.34,lut.42,lut.23,lut.27,3,26200000
2021-05-09,lut.27,lut.38,lut.18,lut.37,0,25700000
2021-05-10,lut.37,lut.42,lut.17,lut.25,15,26300000
2021-05-11,lut.26,pa�.20,lut.13,lut.35,302,94400000
2021-05-12,lut.34,lut.91,lut.32,lut.39,135,29000000
2021-05-13,lut.31,lut.73,lut.26,lut.66,11,28900000
2021-05-14,lut.66,lut.69,lut.16,lut.56,66,28700000
2021-05-15,lut.56,lut.60,lut.40,lut.40,0,28200000
2021-05-16,lut.40,lut.48,lut.14,lut.25,0,26300000
2021-05-17,lut.25,lut.30,02.cze,lut.19,4,24900000
2021-05-18,lut.19,lut.50,lut.18,lut.32,18,26400000
2021-05-19,lut.31,lut.34,sty.68,02.sty,0,23700000
2021-05-20,02.sty,lut.28,sty.91,lut.19,0,24200000
2021-05-21,lut.20,lut.27,sty.84,02.sty,0,23700000
2021-05-22,02.lut,02.wrz,sty.91,02.mar,0,22800000
2021-05-23,02.sty,02.cze,sty.66,sty.80,10,21100000
2021-05-24,sty.81,lut.20,sty.79,lut.17,23,21300000
2021-05-25,lut.18,lut.32,lut.13,lut.18,5,24700000
2021-05-26,lut.19,lut.32,lut.16,lut.24,0,25100000
2021-05-27,lut.23,lut.29,02.gru,lut.19,0,24800000
2021-05-28,lut.18,lut.21,sty.89,sty.93,0,22400000
2021-05-29,sty.93,02.gru,sty.92,sty.97,0,22400000
2021-05-30,sty.97,lut.24,sty.91,lut.20,4,24200000
2021-05-31,lut.20,lut.31,02.gru,lut.30,0,25100000
2021-06-01,lut.30,lut.33,lut.21,lut.26,0,25400000
2021-06-02,lut.27,lut.35,lut.22,lut.32,0,25900000
2021-06-03,lut.32,lut.43,lut.30,lut.42,0,26700000
2021-06-04,lut.42,lut.42,02.cze,02.sie,18,24800000
2021-06-05,02.lip,lut.16,2.00,02.lis,0,23700000
2021-06-06,02.lis,lut.16,02.pa�,lut.13,0,24000000
2021-06-07,lut.13,lut.26,02.lip,02.lip,8,24400000
2021-06-08,02.sie,02.pa�,sty.82,sty.95,0,22300000
2021-06-09,sty.96,lut.30,sty.90,lut.29,0,23400000
2021-06-10,lut.29,lut.35,lut.22,lut.27,0,25600000
2021-06-11,lut.26,lut.31,lut.23,lut.29,0,25600000
2021-06-12,lut.30,lut.30,lut.15,lut.19,0,24800000
2021-06-13,lut.20,lut.32,02.gru,lut.31,11,24800000
2021-06-14,lut.31,lut.41,lut.30,lut.39,0,26300000
2021-06-15,lut.39,lut.43,lut.34,lut.38,0,26700000
2021-06-16,lut.37,lut.39,lut.14,lut.15,0,25300000
2021-06-17,lut.15,lut.33,lut.15,lut.25,0,25200000
2021-06-18,lut.25,lut.26,02.pa�,02.gru,0,24700000
2021-06-19,02.gru,lut.15,02.sie,02.lis,0,23900000
2021-06-20,02.lis,lut.13,sty.99,02.gru,0,23400000
2021-06-21,02.gru,02.gru,sty.73,sty.73,5,21900000
2021-06-22,sty.73,sty.81,sty.59,sty.77,3,19700000
2021-06-23,sty.78,sty.87,sty.61,sty.65,4,19000000
2021-06-24,sty.65,sty.81,sty.59,sty.79,0,19400000
2021-06-25,sty.79,sty.83,sty.62,sty.64,0,19400000
2021-06-26,sty.63,sty.91,sty.56,sty.91,7,19500000
