Date,Unnamed: 0,compound,negative,neutral,positive,likes,retweets,Open,High,Low,Close,Volume,Market Cap,Time Open,Time High,Time Low,Time Close,order_number,risk_of_PAD
2018-07-24,69,0,0.0174186046511627,0.8990465116279069,0.0834883720930232,19.906976744186046,10.186046511627907,0.0225419998168945,0.0239380002021789,0.0219697002321481,0.0238471999764442,10406600.0,361811770.478,2018-07-24T00:00:00.000Z,2018-07-24T22:49:00.000Z,2018-07-24T01:04:01.000Z,2018-07-24T23:59:59.999Z,2,0
2018-07-25,70,0,0.0229777777777777,0.8658444444444444,0.1111555555555555,10.444444444444445,4.822222222222222,0.0233548004180192,0.025509800761938,0.0233548004180192,0.024363599717617,11981300.0,369646635.715,2018-07-25T00:00:00.000Z,2018-07-25T05:19:00.000Z,2018-07-25T00:04:07.000Z,2018-07-25T23:59:59.999Z,2,0
2018-07-26,71,0,0.0237499999999999,0.8628636363636364,0.1133863636363636,19.477272727272727,9.522727272727272,0.0243609007447958,0.0255573000758886,0.0224338006228208,0.0230627991259098,7360590.0,349910786.179,2018-07-26T00:00:00.000Z,2018-07-26T04:04:11.000Z,2018-07-26T23:24:09.000Z,2018-07-26T23:59:59.999Z,2,0
2018-07-27,72,0,0.0202222222222222,0.8902666666666667,0.0894888888888889,10.8,5.5777777777777775,0.0230260007083416,0.0242113005369901,0.0224066004157066,0.0236572008579969,6051300.0,358929074.128,2018-07-27T00:00:00.000Z,2018-07-27T19:04:11.000Z,2018-07-27T13:14:12.000Z,2018-07-27T23:59:59.999Z,2,0
2018-07-28,73,0,0.0178461538461538,0.9008717948717948,0.0812820512820512,24.7948717948718,14.17948717948718,0.0235709995031356,0.0239211991429328,0.0232200995087623,0.0234996005892753,4243460.0,356537953.367,2018-07-28T00:00:00.000Z,2018-07-28T14:24:19.000Z,2018-07-28T15:59:10.000Z,2018-07-28T23:59:59.999Z,2,0
2018-07-29,74,0,0.0207857142857142,0.905547619047619,0.0736666666666666,9.261904761904765,5.0,0.0237144995480775,0.0241199005395174,0.0232280995696783,0.023591099306941,3825190.0,357926199.24,2018-07-29T00:00:00.000Z,2018-07-29T02:24:10.000Z,2018-07-29T11:39:10.000Z,2018-07-29T23:59:59.999Z,2,0
2018-07-30,75,1,0.0105434782608695,0.8659782608695652,0.1234782608695652,5.456521739130435,1.8695652173913044,0.0238249,0.0249541,0.022232,0.0243744,9278390.0,369810494.244,2018-07-30T00:00:00.000Z,2018-07-30T06:09:03.000Z,2018-07-30T18:14:02.000Z,2018-07-30T23:59:59.999Z,2,0
2018-07-31,76,0,0.0022641509433962,0.9561509433962264,0.0415849056603773,19.132075471698112,7.528301886792453,0.0242167,0.026438,0.0231747,0.0238922,39419900.0,362494514.35,2018-07-31T00:00:00.000Z,2018-07-31T07:09:02.000Z,2018-07-31T14:09:02.000Z,2018-07-31T23:59:59.999Z,2,0
2018-08-01,77,0,0.0069354838709677,0.937483870967742,0.0556129032258064,30.774193548387096,14.741935483870968,0.0244463,0.0246906,0.0222704,0.0227895,13411300.0,345764255.062,2018-08-01T00:00:00.000Z,2018-08-01T00:59:02.000Z,2018-08-01T22:09:00.000Z,2018-08-01T23:59:59.999Z,2,0
2018-08-02,78,1,0.00225,0.8977307692307692,0.1000192307692307,12.384615384615383,7.8076923076923075,0.0228075,0.0228936,0.0206515,0.0210016,8593990.0,318638082.411,2018-08-02T00:00:00.000Z,2018-08-02T00:09:08.000Z,2018-08-02T18:44:00.000Z,2018-08-02T23:59:59.999Z,2,0
2018-08-03,79,0,0.0134999999999999,0.915625,0.070875,10.84375,4.625,0.0209407,0.0209407,0.018983,0.0196176,7237140.0,297639915.316,2018-08-03T00:00:00.000Z,2018-08-03T00:04:05.000Z,2018-08-03T07:24:00.000Z,2018-08-03T23:59:59.999Z,2,0
2018-08-04,80,1,0.0215106382978723,0.8803404255319148,0.098127659574468,13.27659574468085,4.702127659574468,0.019743,0.0199502,0.0182123,0.0184925,3904040.0,280569801.3,2018-08-04T00:00:00.000Z,2018-08-04T02:04:09.000Z,2018-08-04T17:44:04.000Z,2018-08-04T23:59:59.999Z,2,0
2018-08-05,81,0,0.0126428571428571,0.9207142857142856,0.0666785714285714,15.571428571428571,7.571428571428571,0.0185439,0.0190416,0.0183598,0.0189519,2499550.0,287539857.632,2018-08-05T00:00:00.000Z,2018-08-05T12:24:02.000Z,2018-08-05T01:09:04.000Z,2018-08-05T23:59:59.999Z,2,0
2018-08-06,82,0,0.01571875,0.92003125,0.06425,4.46875,1.90625,0.0190058,0.0193835,0.0178422,0.0180839,3230320.0,274370486.94,2018-08-06T00:00:00.000Z,2018-08-06T02:19:02.000Z,2018-08-06T22:19:03.000Z,2018-08-06T23:59:59.999Z,2,0
2018-08-07,83,0,0.0209,0.8942249999999999,0.084875,11.775,5.325,0.0181225,0.0189802,0.0173018,0.0173682,3262520.0,263511824.953,2018-08-07T00:00:00.000Z,2018-08-07T13:24:02.000Z,2018-08-07T23:29:00.000Z,2018-08-07T23:59:59.999Z,2,0
